Assessment Key,Session,Session Sort,Course,Course ID,Type,Number,PDF Title,CSV Assessment Name,Vendor Assessment ID,Created At,Due At,Max Points,Est. Minutes,Avg Point-Biserial,Upper 27%,Lower 27%,Discrimination Index,PDF Difficulty,Questions,Student N,Mean Student Score,At/Above Benchmark,Question Mix,PDF Source,CSV Source,Coverage
2026-01-Q1,Jan 2026,2026-01,Mental Health Nursing-Blenis,16356.202610,Quiz,1,Quiz 1A - Blenis - 011526,Quiz 1A - Blenis - 011526,2457836,46027.79791666667,46038.083333333336,20,15,0.19,0.94,0.78,0.16,0.87,20,14,0.882142857142857,1,Multiple Choice: 20,N326 Quiz 1 January 2026.pdf,Quiz 1A - Blenis - 011526.csv,PDF + student data
2026-01-Q2,Jan 2026,2026-01,Mental Health Nursing-Blenis,16356.202610,Quiz,2,N326_Blenis_Quiz2_ATL_012225,N326_Blenis_Quiz2_ATL_012225,2486904,46043.7625,46045.20763888889,19.95,12,0.21,0.9,0.67,0.23,0.79,15,14,0.8428571428571426,0.7142857142857143,Multiple Choice: 15,N326 Quiz 2 January 2026.pdf,N326_Blenis_Quiz2_ATL_012225.csv,PDF + student data
2026-01-Q3,Jan 2026,2026-01,Mental Health Nursing-Blenis,16356.202610,Quiz,3,N326_Blenis_Quiz3_ATL,N326_Blenis_Quiz3_ATL,2500886,46050.850694444445,46059.20763888889,20,11,0.17,0.9,0.7,0.19,0.8,15,14,0.8583750714285715,0.9285714285714286,Multiple Choice: 15,N326 Quiz 3 January 2026.pdf,N326_Blenis_Quiz3_ATL.csv,PDF + student data
2026-01-Q4,Jan 2026,2026-01,Mental Health Nursing-Blenis,16356.202610,Quiz,4,N326_Blenis_Quiz4_ATL,N326_Blenis_Quiz4_ATL,2524388,46063.98888888889,46066.20763888889,20,12,0.23,0.81,0.54,0.26,0.67,15,14,0.7123809285714285,0.35714285714285715,Multiple Choice: 15,N326 Quiz 4 January 2026.pdf,N326_Blenis_Quiz4_ATL.csv,PDF + student data
2026-01-Q5,Jan 2026,2026-01,Mental Health Nursing-Blenis,16356.202610,Quiz,5,Quiz5A_Blenis_N326_ATL (Duplicate),Quiz5A_Blenis_N326_ATL (Duplicate),2535037,46070.919444444444,46071.041666666664,20,9,0.24,0.87,0.61,0.26,0.76,15,14,0.8082379285714286,0.7142857142857143,Multiple Choice: 15,N326 Quiz 5 January 2026.pdf,Quiz5A_Blenis_N326_ATL (Duplicate).csv,PDF + student data
2026-01-E1,Jan 2026,2026-01,Mental Health Nursing-Blenis,16356.202610,Exam,1,W4 NR326 Exam 1,W4 NR326 Exam 1,2491812,45995.74513888889,,140,57,0.2,0.88,0.68,0.2,0.78,58,14,0.8431122142857141,0.9285714285714286,Multiple Choice: 46; Fill in the Blank: 6; Matching: 1; Matrix: 4; Bowtie: 1,N326 Exam 1 January 2026.pdf,W4 NR326 Exam 1.csv,PDF + student data
2026-01-E2,Jan 2026,2026-01,Mental Health Nursing-Blenis,16356.202610,Exam,2,W8 NR326 Exam 2,W8 NR326 Exam 2,2542108,46029.80069444444,46080.20763888889,140,55,0.18,0.83,0.63,0.2,0.72,58,14,0.7925352857142858,0.8571428571428571,Multiple Choice: 44; Fill in the Blank: 7; Matching: 1; Matrix: 5; Bowtie: 1,N326 Exam 2 January 2026.pdf,W8 NR326 Exam 2.csv,PDF + student data
2026-03-Q1,Mar 2026,2026-03,Mental Health Nursing-Blenis,68546.202620,Quiz,1,N326 Quiz 1 Atlanta March 2026 Blenis,N326 Quiz 1 Atlanta March 2026 Blenis,2560260,46084.70625,46094.041666666664,20,12,0.21,0.93,0.72,0.21,0.83,15,18,0.8123980555555556,0.7777777777777778,Multiple Choice: 15,N326 Quiz 1 March 2026.pdf,N326 Quiz 1 Atlanta March 2026 Blenis.csv,PDF + student data
2026-03-Q2,Mar 2026,2026-03,Mental Health Nursing-Blenis,68546.202620,Quiz,2,N326 Quiz 2 Atlanta March 2026 Blenis,N326 Quiz 2 Atlanta March 2026 Blenis,2584769,46100.80625,46101,19.6,14,0.22,0.85,0.62,0.22,0.75,15,19,0.8501252631578946,0.8421052631578947,Multiple Choice: 15,N326 Quiz 2 March 2026.pdf,N326 Quiz 2 Atlanta March 2026 Blenis.csv,PDF + student data
2026-03-Q3,Mar 2026,2026-03,Mental Health Nursing-Blenis,68546.202620,Quiz,3,N326 Quiz 3 Atlanta March 2026 Blenis,N326 Quiz 3 Atlanta March 2026 Blenis,2601222,46112.009722222225,46115.708333333336,20,11,0.19,0.91,0.72,0.19,0.82,15,19,0.8530636842105261,0.8421052631578947,Multiple Choice: 15,N326 Quiz 3 March 2026.pdf,N326 Quiz 3 Atlanta March 2026 Blenis.csv,PDF + student data
