Competency Score Key,Student Key,Assessment Key,Session,Type,Number,Category Group,Category,Points Earned,Percent Earned,Source CSV
2026-01-E2-STU-13F2F95CB050-f6bdb0f289,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 1: Knowledge for Nursing Practice,16.25,0.8125,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-30d08387a1,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 2: Person-Centered Care,101.309524,0.9209956726999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-752e13a295,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 3: Population Health,0,0,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-aa1f00c8f5,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 5: Quality and Safety,5,0.6666666667,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-79f67744c7,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Bloom's Taxonomy,PreL Apply.Analyze,110.684524,0.8681139136999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-15028dba2a,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Bloom's Taxonomy,PreL Evaluate,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-95ed4e1cad,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Bloom's Taxonomy,PreL Remember.Understand,9.375,0.9375,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-75fbc3f34e,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Case Study,PreL Case Study,13.809524,0.9206349333,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-5abfee50a1,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 1-Recognize Cues,1.666667,0.6666668,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-536ceb4ace,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 2-Analyze Cues,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-b759b4ab6e,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 3-Prioritize Hypotheses,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-0dbb949410,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 4-Generate Solutions,2.142857,0.8571428,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-aaa694179b,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 5-Take Actions,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-9e247bee48,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 6-Evaluate Outcomes,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-d2bbd673f3,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Addiction,9.375,0.75,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-2db19b7764,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Anxiety,11.25,0.75,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-3092f7e9b2,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Cognition,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-c8b3df7ba6,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Communication,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-676e1bed12,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Development,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-cdc6c07443,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Fluid and Electrolytes,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-4b89691a4e,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Interpersonal Violence,12.5,0.7142857143000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-cf65b8e5f6,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Mood and Affect,15,0.8571428570999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-fb9a0d5a21,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Nutrition,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-9f794253dc,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Palliative Care,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-06a875c73d,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Psychosis,16.25,0.9285714286,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-d526f944df,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Safety,21.517857,0.9563491999999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-49053bd6c4,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Stress and Coping,19.166667,0.9583333500000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-3ad81f9a19,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Courses,NR326 Mental Health Nursing,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-b43cca7fc9,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Dosage Calculation,PreL Oral Dosage,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-bbac96ba94,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Dosage Calculation,PreL Parenteral Dosage,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-a7a3e0988a,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Exam,PreL FCUE NR326,122.559524,0.8754251714,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-54272dbeb3,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Basic Care and Comfort (BCC),2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-a5dea4da9a,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Health Promotion and Maintenance (HPM),7.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-2e9a6b7b34,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Management of Care (MC),14.375,0.9583333333,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-fd2eee6480,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Pharmacological and Parenteral Therapies (PPT),8.75,0.875,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-64127da332,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Physiological Adaptation (PA),1.875,0.75,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-8ea1ba17ba,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Psychosocial Integrity (PI),85.059524,0.8724053744,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-14e35da63a,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Safety and Infection Control (SIC),2.5,0.5,W8 NR326 Exam 2.csv
