Attempt Key,Student Key,Session,Session Sort,Assessment Key,Type,Number,Assessment Name,Vendor Assessment ID,Points Earned,Max Points,Exported %,Recalculated %,Export-Recalc Delta,Raw Score,Rank,Percentile,Course,Course ID
2026-01-Q1-STU-9020F6FE8D99,STU-9020F6FE8D99,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,19,20,0.95,0.95,0,19,1,0.857143,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-F01B19C38F0A,STU-F01B19C38F0A,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,18,20,0.9,0.9,0,18,5,0.535714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-E2559618B841,STU-E2559618B841,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,17,20,0.85,0.85,0,17,10,0.25,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-72D0B8280C69,STU-72D0B8280C69,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,18,20,0.9,0.9,0,18,5,0.535714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-5EE137EAE9A9,STU-5EE137EAE9A9,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,19,20,0.95,0.95,0,19,1,0.857143,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-5B8FEB7FAD51,STU-5B8FEB7FAD51,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,15,20,0.75,0.75,0,15,13,0.071429,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-72E288818447,STU-72E288818447,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,15,20,0.75,0.75,0,15,13,0.071429,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-9A81C029357A,STU-9A81C029357A,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,17,20,0.85,0.85,0,17,10,0.25,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-13F2F95CB050,STU-13F2F95CB050,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,18,20,0.9,0.9,0,18,5,0.535714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-A2BC11F2136F,STU-A2BC11F2136F,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,18,20,0.9,0.9,0,18,5,0.535714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-9E5CD42D978A,STU-9E5CD42D978A,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,18,20,0.9,0.9,0,18,5,0.535714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-C15A908DE5D5,STU-C15A908DE5D5,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,17,20,0.85,0.85,0,17,10,0.25,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-6173ED6DCF33,STU-6173ED6DCF33,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,19,20,0.95,0.95,0,19,1,0.857143,Mental Health Nursing-Blenis,16356.202610
2026-01-Q1-STU-938EE4C25ADB,STU-938EE4C25ADB,Jan 2026,2026-01,2026-01-Q1,Quiz,1,Quiz 1A - Blenis - 011526,2457836,19,20,0.95,0.95,0,19,1,0.857143,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-9020F6FE8D99,STU-9020F6FE8D99,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,18.62,19.95,0.933333,0.9333333333333335,-3.333333334909483e-7,14,2,0.785714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-F01B19C38F0A,STU-F01B19C38F0A,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,17.29,19.95,0.8666670000000001,0.8666666666666667,3.33333333379926e-7,13,6,0.46428600000000003,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-E2559618B841,STU-E2559618B841,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,14.63,19.95,0.7333329999999999,0.7333333333333334,-3.333333334909483e-7,11,11,0.214286,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-72D0B8280C69,STU-72D0B8280C69,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,14.63,19.95,0.7333329999999999,0.7333333333333334,-3.333333334909483e-7,11,11,0.214286,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-5EE137EAE9A9,STU-5EE137EAE9A9,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,18.62,19.95,0.933333,0.9333333333333335,-3.333333334909483e-7,14,2,0.785714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-5B8FEB7FAD51,STU-5B8FEB7FAD51,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,13.3,19.95,0.666667,0.6666666666666667,3.333333332689037e-7,10,13,0.107143,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-72E288818447,STU-72E288818447,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,17.29,19.95,0.8666670000000001,0.8666666666666667,3.33333333379926e-7,13,6,0.46428600000000003,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-9A81C029357A,STU-9A81C029357A,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,17.29,19.95,0.8666670000000001,0.8666666666666667,3.33333333379926e-7,13,6,0.46428600000000003,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-13F2F95CB050,STU-13F2F95CB050,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,18.62,19.95,0.933333,0.9333333333333335,-3.333333334909483e-7,14,2,0.785714,Mental Health Nursing-Blenis,16356.202610
2026-01-Q2-STU-A2BC11F2136F,STU-A2BC11F2136F,Jan 2026,2026-01,2026-01-Q2,Quiz,2,N326_Blenis_Quiz2_ATL_012225,2486904,19.95,19.95,1,1,0,15,1,0.964286,Mental Health Nursing-Blenis,16356.202610
