"Assessment Key","Session","Type","Number","Complete N","Items","Items with Nonzero Variance","Total Score SD (points)","Exploratory Raw Cronbach Alpha","Exploratory Standardized Alpha"
"2026-01-E1","Jan 2026","Exam",1,14,58,45,7.95306832639672,0.486564382471821,0.594608831479444
"2026-01-E2","Jan 2026","Exam",2,14,58,45,6.36730435352957,0.0683542704046308,-0.0370138053241925
"2026-01-Q1","Jan 2026","Quiz",1,14,20,13,1.33630620956212,-0.0777327935222675,-0.00611111773792009
"2026-01-Q2","Jan 2026","Quiz",2,14,15,10,2.30994755185214,0.456674473067915,0.421482002880173
"2026-01-Q3","Jan 2026","Quiz",3,14,15,11,1.41358788595716,-0.274426503830329,-0.57536477490588
"2026-01-Q4","Jan 2026","Quiz",4,14,15,10,2.38875456598373,0.471776065276143,0.527437695572723
"2026-01-Q5","Jan 2026","Quiz",5,14,15,12,1.8800902935494,0.245685957780921,0.179979215344701
"2026-03-E1","Mar 2026","Exam",1,19,58,45,6.3464105049062,0.193535977216036,0.348401018745475
"2026-03-E2","Mar 2026","Exam",2,19,58,48,6.9983943657992,0.288507714146686,0.431117822241991
"2026-03-Q1","Mar 2026","Quiz",1,18,15,13,2.17815205642485,0.349599799876068,0.239711563849486
"2026-03-Q2","Mar 2026","Quiz",2,19,15,14,1.87478149953037,0.0528757025836866,-0.163790462625065
"2026-03-Q3","Mar 2026","Quiz",3,19,15,11,2.05111358806192,0.384131430659842,0.404257708598587
"2026-03-Q4","Mar 2026","Quiz",4,19,15,14,2.48246598976721,0.675941384440099,0.722217278461483
"2026-03-Q5","Mar 2026","Quiz",5,17,15,14,2.87132168788071,0.477890799414653,0.495578286056721
"2026-05-E1","May 2026","Exam",1,11,56,40,9.37634854603956,0.65480089447352,0.491907928391223
"2026-05-E2","May 2026","Exam",2,11,56,45,13.1455851695157,0.802836410073216,0.797320461809595
"2026-05-Q1","May 2026","Quiz",1,11,15,11,2.91185560565455,0.703101518991859,0.750326634956685
"2026-05-Q2","May 2026","Quiz",2,10,15,14,2.60195373927622,0.529101122266266,0.470447323863549
"2026-05-Q3","May 2026","Quiz",3,10,15,6,0.521540253586538,-3.18262506634778,-1.81598441800259
"2026-05-Q4","May 2026","Quiz",4,10,16,13,1.92102086937013,0.30547878075076,0.255638838740009
"2026-05-Q5","May 2026","Quiz",5,11,16,14,2.12981109742915,0.436313178223592,0.520081671740214
"2026-07-E1","Jul 2026","Exam",1,9,56,46,9.64527088712968,0.538649966736491,0.519531808788064
"2026-07-Q1","Jul 2026","Quiz",1,10,16,13,1.51131273736563,0.299516331537726,0.184674909676265
"2026-07-Q2","Jul 2026","Quiz",2,10,15,13,2.83938642744096,0.737331856308888,0.681176967871441
