"Assessment Key","Session","Session Sort","Type","Number","Questions","Avg Point-Biserial","Discrimination Index","PDF Difficulty","Student N","Mean Score","SD Score","Median Score","Minimum Score","Maximum Score","At or Above 75%","Benchmark Rate"
"2026-01-E1","Jan 2026","2026-01","Exam",1,58,0.2,0.2,0.78,14,0.843112214285714,0.0568077296787879,0.844792,0.737202,0.942262,13,0.928571428571429
"2026-01-E2","Jan 2026","2026-01","Exam",2,58,0.18,0.2,0.72,14,0.792535285714286,0.0454807318803647,0.7891155,0.711097,0.875425,12,0.857142857142857
"2026-01-Q1","Jan 2026","2026-01","Quiz",1,20,0.19,0.16,0.87,14,0.882142857142857,0.0668153104781061,0.9,0.75,0.95,14,1
"2026-01-Q2","Jan 2026","2026-01","Quiz",2,15,0.21,0.23,0.79,14,0.842857142857143,0.115786800414752,0.866667,0.6,1,10,0.714285714285714
"2026-01-Q3","Jan 2026","2026-01","Quiz",3,15,0.17,0.19,0.8,14,0.858375071428571,0.0706793761252605,0.84975,0.71725,0.960917,13,0.928571428571429
"2026-01-Q4","Jan 2026","2026-01","Quiz",4,15,0.23,0.26,0.67,14,0.712380928571429,0.119437759945031,0.6995,0.555167,0.9335,5,0.357142857142857
"2026-01-Q5","Jan 2026","2026-01","Quiz",5,15,0.24,0.26,0.76,14,0.808237928571429,0.0940045324942156,0.827958,0.650875,0.96675,10,0.714285714285714
"2026-03-E1","Mar 2026","2026-03","Exam",1,58,0.21,0.22,0.76,19,0.848151631578947,0.0453315126328137,0.859524,0.739286,0.918155,18,0.947368421052632
"2026-03-E2","Mar 2026","2026-03","Exam",2,58,0.14,0.2,0.77,19,0.830267578947368,0.0499884692507691,0.836012,0.703699,0.892857,18,0.947368421052632
"2026-03-Q1","Mar 2026","2026-03","Quiz",1,15,0.21,0.21,0.83,18,0.812398055555556,0.108907652443533,0.8113335,0.511333,1,14,0.777777777777778
"2026-03-Q2","Mar 2026","2026-03","Quiz",2,15,0.22,0.22,0.75,19,0.850125263157895,0.0956520418890157,0.880952,0.652381,0.961905,16,0.842105263157895
"2026-03-Q3","Mar 2026","2026-03","Quiz",3,15,0.19,0.19,0.82,19,0.853063684210526,0.102555633617972,0.867,0.645167,1,16,0.842105263157895
"2026-03-Q4","Mar 2026","2026-03","Quiz",4,15,0.31,0.28,0.76,19,0.856157894736842,0.12412329948836,0.883,0.499875,1,17,0.894736842105263
"2026-03-Q5","Mar 2026","2026-03","Quiz",5,15,0.34,0.35,0.71,17,0.733205882352941,0.143566084394035,0.7335,0.4665,0.9335,7,0.411764705882353
"2026-05-E1","May 2026","2026-05","Exam",1,56,0.23,0.25,0.77,11,0.858089727272727,0.0669738030876117,0.862202,0.765476,0.979464,11,1
"2026-05-E2","May 2026","2026-05","Exam",2,56,0.2,0.24,0.71,11,0.816044363636364,0.0938970406331027,0.815774,0.709524,0.942262,7,0.636363636363636
"2026-05-Q1","May 2026","2026-05","Quiz",1,15,0.32,0.28,0.75,11,0.828988636363636,0.145592780282727,0.83375,0.467,0.983375,9,0.818181818181818
"2026-05-Q2","May 2026","2026-05","Quiz",2,15,0.23,0.24,0.74,10,0.8112335,0.130097726857116,0.8381335,0.608267,1,6,0.6
"2026-05-Q3","May 2026","2026-05","Quiz",3,15,0.2,0.19,0.83,10,0.9450875,0.0260770126793269,0.9335,0.916875,1,10,1
"2026-05-Q4","May 2026","2026-05","Quiz",4,16,0.28,0.28,0.7,10,0.8171875,0.0960510434685063,0.8359375,0.65625,0.953125,8,0.8
"2026-05-Q5","May 2026","2026-05","Quiz",5,16,0.29,0.31,0.68,11,0.799810545454545,0.106490559197859,0.828125,0.625,0.973958,8,0.727272727272727
"2026-07-E1","Jul 2026","2026-07","Exam",1,56,0.23,0.25,0.75,9,0.793254,0.0688947647176475,0.799405,0.647024,0.867262,8,0.888888888888889
"2026-07-Q1","Jul 2026","2026-07","Quiz",1,16,0.25,0.18,0.69,10,0.8120832,0.0755656189176004,0.8104165,0.704167,0.9875,8,0.8
"2026-07-Q2","Jul 2026","2026-07","Quiz",2,15,0.31,0.34,0.62,10,0.7717434,0.141969209132904,0.772417,0.5823,0.977667,6,0.6
