"Topic","July Items","Prior Item Administrations","July Weighted Facility","Prior Weighted Facility","Facility Difference"
"Dissociative Disorders",2,6,0.611111111111111,0.909090909090909,-0.297979797979798
"Medication Calculation",2,6,0.611111111111111,0.897727272727273,-0.286616161616162
"Crisis Intervention",5,15,0.762962968888889,0.895303032727273,-0.132340063838384
"Professional Identity: Mental Health Nursing",2,6,0.75,0.856818181818182,-0.106818181818182
"Ethical And Legal Issues In Mental Health Nursing",7,21,0.787301587301587,0.880140693506494,-0.0928391062049062
"The Therapeutic Milieu",10,30,0.787037031111111,0.857310604545454,-0.0702735734343434
"Mental Health Care Concepts",3,9,0.777777777777778,0.83838383939394,-0.0606060616161616
"Mental Health Therapies",5,15,0.755555555555555,0.80363636,-0.0480808044444446
"Assertiveness Training And Aggression Management",6,18,0.909876540740741,0.882891415151515,0.0269851255892256
"Somatic Symptom Disorders",2,6,0.888888888888889,0.859090909090909,0.0297979797979798
"Psychopharmacology",11,36,0.832323232323232,0.788257577272727,0.0440656550505051
"Psychosis",1,0,0.777777777777778,,
