"Stage","Session","Instructional Focus","Items"
"Exam 2 relevant content","Jan 2026","Adjacent trauma/PTSD content",1
"Exam 2 relevant content","Jan 2026","Antidepressant medication safety",1
"Exam 2 relevant content","Jan 2026","Depression assessment and nursing care",2
"Exam 2 relevant content","Jan 2026","ECT: indications, teaching, or evaluation",1
"Exam 2 relevant content","Jan 2026","Lithium safety and teaching",1
"Exam 2 relevant content","Jan 2026","Mania recognition and nursing care",3
"Exam 2 relevant content","Jan 2026","Suicide screening, risk, and safety",4
"Quiz 3","Jan 2026","Antidepressant medication safety",1
"Quiz 3","Jan 2026","Depression assessment and nursing care",7
"Quiz 3","Jan 2026","Mania recognition and nursing care",5
"Quiz 3","Jan 2026","Suicide screening, risk, and safety",2
"Exam 2 relevant content","Mar 2026","Adjacent trauma/PTSD content",1
"Exam 2 relevant content","Mar 2026","Depression assessment and nursing care",3
"Exam 2 relevant content","Mar 2026","ECT: indications, teaching, or evaluation",1
"Exam 2 relevant content","Mar 2026","Lithium safety and teaching",2
"Exam 2 relevant content","Mar 2026","Mania recognition and nursing care",3
"Exam 2 relevant content","Mar 2026","Suicide screening, risk, and safety",3
"Quiz 3","Mar 2026","Antidepressant medication safety",3
"Quiz 3","Mar 2026","Depression assessment and nursing care",2
"Quiz 3","Mar 2026","Mania recognition and nursing care",4
"Quiz 3","Mar 2026","Mood stabilizer rash safety",1
"Quiz 3","Mar 2026","Suicide screening, risk, and safety",5
"Exam 2 relevant content","May 2026","Depression assessment and nursing care",4
"Exam 2 relevant content","May 2026","ECT: indications, teaching, or evaluation",2
"Exam 2 relevant content","May 2026","Lithium safety and teaching",1
"Exam 2 relevant content","May 2026","Mania recognition and nursing care",3
"Exam 2 relevant content","May 2026","Suicide screening, risk, and safety",2
"Exam 2 relevant content","May 2026","Tricyclic antidepressant safety",1
"Quiz 3","May 2026","Antidepressant medication safety",4
"Quiz 3","May 2026","Depression assessment and nursing care",1
"Quiz 3","May 2026","Mania recognition and nursing care",4
"Quiz 3","May 2026","Mood stabilizer rash safety",1
"Quiz 3","May 2026","Suicide screening, risk, and safety",5
