"Stage","Question Type","Items"
"Exam 2 relevant content","PreL Multiple Choice (Traditional and Extended)",27
"Exam 2 relevant content","PreL Matrix Single Response",6
"Exam 2 relevant content","PreL Select All That Apply (Traditional and NGN)",3
"Exam 2 relevant content","PreL Cloze Drop Down",2
"Exam 2 relevant content","PreL Select N",1
"Quiz 3","PreL Multiple Choice (Traditional and Extended)",27
"Quiz 3","Inferred multiple choice",9
"Quiz 3","Inferred multiple response",5
"Quiz 3","PreL Select All That Apply (Traditional and NGN)",3
"Quiz 3","PreL Hot Spot",1
