"Stage","Session","Content Group","Items","Mean Local Facility","Median Local Facility","Mean Vendor/PDF Point-Biserial","Mean Local Corrected Item-Rest Correlation","Very Easy Items","Difficult Items"
"Exam 2 relevant content","Jan 2026","Adjacent/PTSD",1,0.877550971428571,0.877550971428571,0.04,-0.081727787035982,0,0
"Exam 2 relevant content","Jan 2026","Bipolar/mania",4,0.964285714285714,0.964285714285714,0.1425,-0.118767831965492,4,0
"Exam 2 relevant content","Jan 2026","Depression",4,0.558035714285714,0.580357142857143,0.3125,-0.0222058945313161,0,2
"Exam 2 relevant content","Jan 2026","Suicide/safety",4,0.885204078571429,0.9132653,0.1575,-0.116759531449916,2,0
"Quiz 3","Jan 2026","Bipolar/mania",5,0.742857132196162,0.785714232409382,0.228,0.0280987561587095,1,1
"Quiz 3","Jan 2026","Depression",8,0.919642857142857,0.964285714285714,0.14875,-0.208976912486468,6,0
"Quiz 3","Jan 2026","Suicide/safety",2,0.901785714285714,0.901785714285714,0.125,-0.105459478293333,1,0
"Exam 2 relevant content","Mar 2026","Adjacent/PTSD",1,0.921052589473684,0.921052589473684,0.08,0.548674203313335,1,0
"Exam 2 relevant content","Mar 2026","Bipolar/mania",5,0.83421052631579,0.802631578947368,0.1,0.108302901043645,1,0
"Exam 2 relevant content","Mar 2026","Depression",4,0.8125,0.861842105263158,0.185,-0.00215748268835061,1,1
"Exam 2 relevant content","Mar 2026","Suicide/safety",3,0.904761901754386,0.947368421052632,0.07,-0.0518874727160162,2,0
"Quiz 3","Mar 2026","Bipolar/mania",5,0.792982443047918,0.789473684210526,0.234,0.085268190122796,2,0
"Quiz 3","Mar 2026","Depression",4,0.921052631578947,0.921052631578947,0.28,0.439652183349779,2,0
"Quiz 3","Mar 2026","Suicide/safety",6,0.857456140350877,0.835526315789474,0.224,0.116840715250023,2,0
"Exam 2 relevant content","May 2026","Bipolar/mania",4,0.909090909090909,0.909090909090909,0.135,0.145207221663608,4,0
"Exam 2 relevant content","May 2026","Depression",7,0.87012987012987,0.818181818181818,0.205714285714286,0.377694312293136,3,0
"Exam 2 relevant content","May 2026","Suicide/safety",2,1,1,-0.03,,2,0
"Quiz 3","May 2026","Bipolar/mania",5,0.94,0.9,0.204,-0.465223194294712,5,0
"Quiz 3","May 2026","Depression",4,1,1,0.263333333333333,,4,0
"Quiz 3","May 2026","Suicide/safety",6,0.9125,0.95,0.206666666666667,-0.540148084446271,4,0
